depth,BT,BSAL,SSAL,SST,chla,month,season,SBFDESED,SEDSIZE,SUBREGION2,BENHAB,SBFDEPTH,SBF.GRP,LPI
71,7.75,32.641,31.968,11.83,5.06112480163574,10,FALL,ShallowDepressionSand,0.35,GulfofMaine,GOM_557,Shallow Depression,Depression,LowLandPosition
18,23.97,30.379,29.279,25.35,1.12412965297699,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
27,25.47,32.498,32.276,25.84,0.861382722854614,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
89,11.9,33.632,32.237,14.47,2.45907151699066,10,FALL,SomewhatDeepFlatSand,0.35,GulfofMaine,GOM_9/133/183/1451,Somewhat Deep Flat,MidFlat,MidLandPosition
66,11.87,32.459,32.178,14.7,1.06644439697266,10,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
23,23.2,31.205,28.132,24,1.71388828754425,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
67,13.78,32.772,32.722,14.91,1.30556976795197,10,FALL,ShallowFlatSand,0.48,GulfofMaine,GOM_557,Shallow Flat,MidFlat,MidLandPosition
56,16.46,32.754,32.747,16.49,5.32710838317871,10,FALL,ShallowDepressionGravel,0.5,GulfofMaine,GOM_9,Shallow Depression,Depression,LowLandPosition
20,20.67,30.99,30.748,20.88,2.73714780807495,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
120,13.81,35.733,33.877,22.7,0.268074512481689,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
17,20.67,30.943,30.801,21.58,5.96834421157837,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
86,12.69,33.035,32.798,17.6,1.75407350063324,9,FALL,ModerateFlatGravel,0.5,GulfofMaine,GOM_1028,Moderate Flat,MidFlat,MidLandPosition
29,22.56,33.049,32.788,24.48,0.885830223560333,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
34,13.72,32.118,32.123,13.86,3.21900081634521,10,FALL,HighFlatGravel,0.5,SouthernNewEngland,SNE_6,High Flat,HighFlat,HighLandPosition
26,20.39,31.885,31.835,20.74,5.1047477722168,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
25,18.93,31.252,30.367,20.69,3.84284090995789,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
146,13.94,35.747,33.872,25.37,0.293310940265656,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
36,14.9,31.777,31.778,14.8,2.33551168441772,10,FALL,VeryShallowDepressionGravel,0.5,GulfofMaine,GOM_18,Very Shallow Depression,Depression,LowLandPosition
219,7.1,34.471,31.994,9.4,1.29284060001373,10,FALL,DeeperFlatSand,0.35,GulfofMaine,GOM_12,Deeper Flat,MidFlat,MidLandPosition
68,11.32,33.724,33.347,19.97,0.313173323869705,9,FALL,ModerateFlatSand,0.17,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
20,19.16,32.057,30.706,19.46,3.56954073905945,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
184,12.3,35.604,35.166,23.6,0.276299387216568,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
81,10.71,33.394,32.91,16.75,0.45140215754509,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
126,11.34,34.476,32.746,12.59,1.02013182640076,11,FALL,SideSlopeGravel,0.5,GulfofMaine,GOM_7,Side Slope,HighSlope,HighLandPosition
65,9.77,33.012,32.548,13.35,1.43428444862366,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_9,High Flat,HighFlat,HighLandPosition
217,9.46,34.678,32.628,11.13,1.09404122829437,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
43,14.5,33.515,32.752,20.51,0.729799687862396,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
25,17.22,32.1,31.921,18.37,1.94898009300232,9,FALL,HighFlatSand,0.36,SouthernNewEngland,SNE_36,High Flat,HighFlat,HighLandPosition
238,7.64,35.07,33.597,13.9,0.883363306522369,11,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
21,22.3,32.692,29.134,22,3.7946572303772,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
83,14.4,35.566,35.37,23.2,0.413810759782791,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
20,22.8,30.979,29.361,23.6,1.26187205314636,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
36,15.7,32.261,32.079,20.6,1.07520043849945,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
93,14.02,35.561,32.213,22.54,0.390062004327774,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
226,8.09,34.469,32.535,10.43,1.09913003444672,11,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
20,19.46,30.977,30.961,19.45,2.1107029914856,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
197,9.11,35.007,32.818,12.32,1.17419850826263,11,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
47,16.4,32.557,32.545,16.47,5.32710838317871,10,FALL,ShallowFlatGravel,0.5,GulfofMaine,GOM_9,Shallow Flat,MidFlat,MidLandPosition
167,7.4,33.861,33.118,11.5,3.32762455940247,10,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
129,9.11,34.664,32.088,16.04,0.901223540306091,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
63,13.9,34.283,32.841,16.2,1.33805847167969,10,FALL,ModerateFlatSand,0.17,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
167,8.28,33.728,33.01,11.14,0.9662898,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
54,11.48,32.743,32.025,17.99,0.400204092264175,9,FALL,ModerateFlatSand,0.17,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
27,23.8,32.187,32.155,23.78,1.68178427219391,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
36,18.68,32.733,32.561,18.68,2.36120462417603,10,FALL,ShallowDepressionGravel,0.5,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
68,10.5,32.719,32.41,16.69,0.955248653888702,9,FALL,ModerateFlatSand,0.48,GulfofMaine,GOM_557,Moderate Flat,MidFlat,MidLandPosition
145,7.1,33.448,32.819,12.1,1.2948352098465,10,FALL,HighFlatSand,0.17,GulfofMaine,GOM_5,High Flat,HighFlat,HighLandPosition
216,7.82,34.368,32.769,10.72,1.29819977283478,10,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
17,21.34,30.423,30.36,21.83,4.28463935852051,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
35,13.78,32.491,32.18,18.08,1.25310981273651,10,FALL,HighFlatGravel,0.5,SouthernNewEngland,SNE_6,High Flat,HighFlat,HighLandPosition
206,8.62,34.912,32.706,13.05,1.34433209896088,10,FALL,DeeperDepressionSand,0.36,GulfofMaine,GOM_5,Deeper Depression,Depression,LowLandPosition
142,8.74,33.724,33.106,10.5,1.3458354473114,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
115,9.04,32.999,31.949,11.25,2.9265296459198,11,FALL,DeepDepressionSilt/Mud,0.03,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
33,9.73,31.883,31.964,10.47,6.43337440490723,11,FALL,VeryShallowDepressionSilt/M,0.03,GulfofMaine,GOM_8,Very Shallow Depression,Depression,LowLandPosition
79,16.39,34.261,33.677,16.94,1.67363560199738,10,FALL,ModerateFlatSand,0.48,GulfofMaine,GOM_557,Moderate Flat,MidFlat,MidLandPosition
25,18.25,32.305,32.299,18.28,2.56483936309814,10,FALL,ShallowFlatSand,0.48,SouthernNewEngland,SNE_223,Shallow Flat,MidFlat,MidLandPosition
35,16.83,31.92,31.753,18.87,2.44779300689697,10,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_6,High Flat,HighFlat,HighLandPosition
218,8.51,34.577,32.71,11.79,1.21395206451416,10,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
35,12.11,32.844,32.074,23.92,0.750690996646881,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
193,13.17,35.67,34.668,22.64,0.233232602477074,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
43,11.08,32.886,32.163,19.18,0.585511386394501,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
176,8.34,34.602,32.053,13.99,1.4728262424469,10,FALL,HighFlatSand,0.48,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
126,12.57,35.551,34.494,21.68,0.261049658060074,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
127,11.24,33.904,33.398,11.89,0.975319445133209,11,FALL,DeepDepressionSilt/Mud,0.03,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
50,9.17,32.805,32.464,21.68,0.923604965209961,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
53,9.7,32.315,32.043,19.61,1.94373166561127,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
26,23.19,33.096,31.237,21.67,1.1112242937088,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
88,9.09,33.713,34.407,22.77,0.466797322034836,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
65,11.42,32.949,33.639,18.95,0.902689218521118,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
98,8.31,33.996,32.326,16.18,1.94966673851013,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_183,High Flat,HighFlat,HighLandPosition
174,6.8,33.813,32.42,13.97,1.26295673847198,10,FALL,HighFlatSilt/Mud,0.03,GulfofMaine,GOM_247,High Flat,HighFlat,HighLandPosition
51,13.85,33.38,33.992,20.53,0.592694580554962,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
20,20.38,31.835,31.698,21.41,1.31620645523071,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
39,16.6,32.386,32.389,16.6,2.97279262542725,10,FALL,VeryShallowDepressionSand,0.36,GulfofMaine,GOM_1451,Very Shallow Depression,Depression,LowLandPosition
124,7.48,33.225,32.414,14.35,0.769925117492676,10,FALL,DeepDepressionGravel,0.5,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
30,21.71,32.269,32.327,22.04,0.569435179233551,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
24,19.26,32.154,31.636,21,2.3937783241272,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
93,5.74,32.461,32.153,12.41,1.88774871826172,10,FALL,SideSlopeSand,0.48,GulfofMaine,GOM_12,Side Slope,HighSlope,HighLandPosition
122,13.7,35.621,34.729,21.68,0.636715829372406,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
89,9.44,32.463,32.151,12.18,1.756457,11,FALL,SomewhatDeepDepressionSilt/,0.03,GulfofMaine,GOM_247,Somewhat Deep Depression,Depression,LowLandPosition
64,11,32.187,31.728,15.1,1.63823783397675,10,FALL,ShallowDepressionSand,0.36,GulfofMaine,GOM_1451,Shallow Depression,Depression,LowLandPosition
151,6.38,33.847,31.788,15.59,0.763433933258057,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
86,11.03,33.229,33.014,11.51,1.35820639133453,10,FALL,HighFlatSilt/Mud,0.03,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
86,9.41,32.984,32.735,11.04,2.04302358627319,10,FALL,SideSlopeSilt/Mud,0.03,GulfofMaine,GOM_8,Side Slope,SideSlope,MidLandPosition
53,11.99,32.6,31.68,22.01,0.951389729976654,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
21,18.3,32.476,32.46,18.3,3.35390520095825,10,FALL,ShallowFlatSand,0.17,SouthernNewEngland,SNE_317,Shallow Flat,MidFlat,MidLandPosition
133,7.73,33.294,32.122,13.3,0.769925117492676,10,FALL,DeepDepressionSilt/Mud,0.03,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
27,20.42,31.954,31.363,23.49,1.25569880008698,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
108,10.03,32.913,30.238,10.22,4.71191930770874,11,FALL,HighFlatSand,0.17,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
88,13.39,34.868,34.273,20.96,0.352194547653198,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
29,13.65,31.659,31.662,13.64,5.49355983734131,10,FALL,VeryShallowDepressionSilt/M,0.03,GulfofMaine,GOM_8,Very Shallow Depression,Depression,LowLandPosition
50,8.86,32.13,31.696,13.72,2.12755489349365,10,FALL,ShallowDepressionSand,0.48,GulfofMaine,GOM_557,Shallow Depression,Depression,LowLandPosition
192,8.57,34.384,33.161,12.94,2.31335282325745,10,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
62,8.88,33.445,32.137,22.45,0.266264915466309,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
45,7.99,32.024,31.229,23.38,0.676827132701874,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
66,9.26,33.162,34.279,20.55,0.557079434394836,9,FALL,ModerateFlatSilt/Mud,0.03,SouthernNewEngland,SNE_36,Moderate Flat,MidFlat,MidLandPosition
52,15.31,32.867,33.23,18.21,1.2339084148407,9,FALL,ModerateFlatGravel,0.5,SouthernNewEngland,SNE_223,Moderate Flat,MidFlat,MidLandPosition
144,13.16,35.624,35.551,22.33,0.205622211098671,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
23,17.06,31.784,31.785,17.06,2.67646408081055,9,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_316,High Flat,HighFlat,HighLandPosition
52,11.51,32.39,32.153,12.92,1.30957186222076,10,FALL,HighFlatGravel,0.5,SouthernNewEngland,SNE_6,High Flat,HighFlat,HighLandPosition
22,23.01,30.919,29.747,25.16,1.12412965297699,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
305,10.11,35.318,33.654,16.14,3.93291473388672,10,FALL,SideSlopeSand,0.35,GulfofMaine,GOM_5,Side Slope,HighSlope,HighLandPosition
135,12.97,35.471,34.775,22.06,0.303135007619858,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
57,8.57,32.327,31.561,22.15,0.526624083518982,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
41,10.7,32.863,32.392,19.2,1.07841086387634,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
85,10.57,33.409,34.049,19.02,0.353858321905136,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
261,8.4,35.172,34.678,18.3,0.969720900058746,10,FALL,SideSlopeSand,0.17,GulfofMaine,GOM_5,Side Slope,HighSlope,HighLandPosition
280,8.42,34.488,33.398,9.79,0.8328876,12,FALL,DeepestDepressionSilt/Mud,0.03,GulfofMaine,GOM_72/8/87,Deepest Depression,Depression,LowLandPosition
205,7,34.395,31.969,9.1,1.29284060001373,10,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
56,14.3,32.952,32.197,19,2.79048633575439,10,FALL,ModerateDepressionSand,0.17,SouthernNewEngland,SNE_372,Moderate Depression,Depression,LowLandPosition
26,14.8,31.965,30.199,23.54,1.94373166561127,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
68,8.67,33.045,31.432,27.59,0.320568263530731,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
122,9.39,32.912,32.051,12.85,3.30945229530334,10,FALL,DeepDepressionSand,0.17,GulfofMaine,GOM_2,Deep Depression,Depression,LowLandPosition
39,15.87,32.962,32.211,22.43,1.61491513252258,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
27,18.78,32.085,31.857,21.07,3.8290867805481,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
279,9.85,35.23,34.167,19.87,0.484379708766937,9,FALL,SideSlopeSand,0.48,GulfofMaine,GOM_5,Side Slope,HighSlope,HighLandPosition
51,13.89,33.13,33.429,22.6,0.490714102983475,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
42,14.2,32.727,32.26,19.17,0.833626925945282,9,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_317,Moderate Flat,MidFlat,MidLandPosition
80,10.76,33.576,34.152,22.58,0.313173323869705,9,FALL,SomewhatDeepFlatSand,0.35,SouthernNewEngland,SNE_949,Somewhat Deep Flat,MidFlat,MidLandPosition
147,9.57,33.887,33.062,10.54,1.3458354473114,11,FALL,DeepFlatGravel,0.5,GulfofMaine,GOM_1028,Deep Flat,MidFlat,MidLandPosition
252,6.69,35.091,34.013,17.87,3.93291473388672,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
96,13.81,35.069,33.545,17.59,0.758061528205872,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
57,8.94,32.735,32.49,21,0.740799844264984,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
153,5.53,33.36,32.283,11.41,0.92067277431488,11,FALL,HighFlatSand,0.35,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
151,13.26,35.272,33.264,17.74,0.176702782511711,9,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_387,High Flat,HighFlat,HighLandPosition
235,8.4,34.967,32.369,15.6,1.57799816131592,10,FALL,DeepestDepressionGravel,0.5,GulfofMaine,GOM_7,Deepest Depression,Depression,LowLandPosition
121,5.4,32.676,32.263,11.38,5.06112480163574,10,FALL,DeepDepressionSand,0.17,GulfofMaine,GOM_2,Deep Depression,Depression,LowLandPosition
75,16.83,33.513,33.188,16.51,1.67363560199738,10,FALL,ModerateFlatSand,0.36,GulfofMaine,GOM_91,Moderate Flat,MidFlat,MidLandPosition
53,9.91,32.49,32.784,20.49,1.20500886440277,10,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
55,8.9,32.804,32.095,20.65,0.740799844264984,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
140,10.92,34.131,32.44,9.79,0.881146848201752,11,FALL,HighFlatSand,0.17,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
193,7.49,34.704,32.241,14.46,1.41092026233673,10,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
194,9.12,35.098,33.275,11.04,0.754478991031647,11,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
147,15.4,36.006,35.199,24.6,0.332830399274826,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
24,20.22,31.335,31.317,20.25,1.17545461654663,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
28,19,31.971,31.629,20.41,1.57236611843109,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
86,7.3,33.033,32.288,11.6,1.99035251140594,11,FALL,SomewhatDeepFlatSand,0.35,GulfofMaine,GOM_9/133/183/1451,Somewhat Deep Flat,MidFlat,MidLandPosition
95,13.58,35.024,32.542,16.63,0.937550008296967,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_183,High Flat,HighFlat,HighLandPosition
88,11.41,33.656,33.746,19.98,0.389385938644409,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
78,9.06,33.517,33.312,20.91,0.345492005348206,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
84,14.03,35.491,32.02,22.46,0.390062004327774,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
198,8.46,34.7,32.196,12.23,1.21395206451416,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
48,16.01,31.979,31.977,16,3.74696946144104,10,FALL,ShallowDepressionSand,0.36,GulfofMaine,GOM_1451,Shallow Depression,Depression,LowLandPosition
198,9.4,34.683,33.182,11.5,1.45413315296173,10,FALL,DeeperDepressionSand,0.17,GulfofMaine,GOM_5,Deeper Depression,Depression,LowLandPosition
23,18.69,30.928,30.387,19.8,4.70128345489502,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_25,Shallow Depression,Depression,LowLandPosition
100,7.9,32.652,31.889,13.26,2.421593,11,FALL,SomewhatDeepFlatGravel,0.5,GulfofMaine,GOM_1078,Somewhat Deep Flat,MidFlat,MidLandPosition
